Time (s),Fluorescence Intensity (a.u.),Frequency (KHz)
102.717533826828,2.6284227109053497,2847000
102.93988990783691,2.6297318672839505,2847100
103.16241693496704,2.6299961419753086,2847200
103.38362741470337,2.6293621399176956,2847300
103.6054699420929,2.628590534979424,2847400
103.82706093788147,2.6297736625514405,2847500
104.05065250396729,2.6296109825102882,2847600
104.28767681121826,2.629454732510288,2847700
104.49450659751892,2.63061021090535,2847800
104.71898698806763,2.628195730452675,2847900
104.93961834907532,2.630465534979424,2848000
105.16140627861023,2.6270955504115228,2848100
105.3836944103241,2.629259259259259,2848200
105.60618710517883,2.6318975051440328,2848300
105.83193707466125,2.628845807613169,2848400
106.05064415931702,2.630338863168724,2848500
106.27391624450684,2.6289396862139918,2848600
106.49411964416504,2.628957690329218,2848700
106.71714377403259,2.6294753086419753,2848800
106.93979740142822,2.629362782921811,2848900
107.16209602355957,2.630630787037037,2849000
107.38344311714172,2.630093235596708,2849100
107.60550260543823,2.6300893775720167,2849200
107.82750821113586,2.6284709362139917,2849300
108.05274367332458,2.62886316872428,2849400
108.27266597747803,2.6293524948559672,2849500
108.49393272399902,2.6277083333333335,2849600
108.71689748764038,2.6273868312757203,2849700
108.93836164474487,2.62982896090535,2849800
109.16014552116394,2.628264531893004,2849900
109.38292479515076,2.6293029835390946,2850000
109.60488867759705,2.629769161522634,2850100
109.82721066474915,2.629021990740741,2850200
110.05129790306091,2.6290579989711933,2850300
110.27203011512756,2.6279552469135803,2850400
110.49387884140015,2.6296553497942385,2850500
110.71907901763916,2.6295981224279834,2850600
110.93901634216309,2.6293332047325104,2850700
111.16044020652771,2.630645576131687,2850800
111.39761424064636,2.628911394032922,2850900
111.61650061607361,2.629238683127572,2851000
111.82915687561035,2.628652906378601,2851100
112.05018639564514,2.6309207818930043,2851200
112.2723000049591,2.629162808641975,2851300
112.50565981864929,2.6303137860082306,2851400
112.74459433555603,2.630479681069959,2851500
112.94466853141785,2.628261316872428,2851600
113.17156291007996,2.6299537037037037,2851700
113.39005303382874,2.6288683127572017,2851800
113.61471033096313,2.631379886831276,2851900
113.83601927757263,2.629656635802469,2852000
114.0511908531189,2.630469393004115,2852100
114.2743136882782,2.6292232510288067,2852200
114.49670195579529,2.6287454989711936,2852300
114.717618227005,2.6305922067901233,2852400
114.95685315132141,2.6267881944444444,2852500
115.16731142997742,2.6303819444444443,2852600
115.38341617584229,2.629262474279835,2852700
115.6054334640503,2.629517103909465,2852800
115.82755899429321,2.628585390946502,2852900
116.05100989341736,2.628766718106996,2853000
116.27264499664307,2.6316287294238685,2853100
116.4927453994751,2.6305986368312757,2853200
116.71563816070557,2.6292316100823045,2853300
116.93946170806885,2.628244598765432,2853400
117.1599600315094,2.626838991769547,2853500
117.38396286964417,2.628428497942387,2853600
117.60661339759827,2.6281320730452675,2853700
117.82933974266052,2.6278092849794237,2853800
118.04904532432556,2.629189814814815,2853900
118.28676652908325,2.6285384516460906,2854000
118.49458765983582,2.629538966049383,2854100
118.7168242931366,2.6292997685185187,2854200
118.93969082832336,2.629897119341564,2854300
119.16077327728271,2.6279552469135803,2854400
119.3843924999237,2.627011959876543,2854500
119.60412049293518,2.6280208333333333,2854600
119.82590889930725,2.627914737654321,2854700
120.0495274066925,2.6285551697530862,2854800
120.27198624610901,2.6276060956790124,2854900
